18-04-20,00:00:01,orderID, symbol, side, price, leavesQty
19-04-20,13:44:05,bbad10f6-ecad-fe45-7711-fc1ff52ed805, XBTUSD, Sell, 7128.5, 1
19-04-20,13:44:05,bbad10f6-ecad-fe45-7711-fc1ff52ed805, XBTUSD, Sell, 7128.5, 1
19-04-20,13:44:10,f454d40b-6471-1e21-95de-fa7bb46b388c, XBTUSD, Sell, 7121.5, 48205
19-04-20,13:44:10,f454d40b-6471-1e21-95de-fa7bb46b388c, XBTUSD, Sell, 7121.5, 48205
19-04-20,13:44:16,5f0e068d-b7a5-168f-22d7-935f23b40234, XBTUSD, Sell, 7116.5, 72100
19-04-20,13:44:16,5f0e068d-b7a5-168f-22d7-935f23b40234, XBTUSD, Sell, 7116.5, 72100
19-04-20,13:44:22,50610b91-dc4c-592e-7a47-53643cc730f0, XBTUSD, Sell, 7115, 22620
19-04-20,13:44:22,50610b91-dc4c-592e-7a47-53643cc730f0, XBTUSD, Sell, 7115, 22620
19-04-20,13:44:27,d7b0a77a-d533-46c8-22a1-e6c9dcb44fa0, XBTUSD, Sell, 7108.5, 222015
19-04-20,13:44:27,d7b0a77a-d533-46c8-22a1-e6c9dcb44fa0, XBTUSD, Sell, 7108.5, 222015
19-04-20,13:44:33,36da090a-4f1d-c5ad-9ffe-761bbc136c05, XBTUSD, Sell, 7101, 911283
19-04-20,13:44:33,36da090a-4f1d-c5ad-9ffe-761bbc136c05, XBTUSD, Sell, 7101, 911283
19-04-20,13:44:39,b2b78b55-7c4c-e699-3401-97af42adbf4b, XBTUSD, Sell, 7096, 2237
19-04-20,13:44:39,b2b78b55-7c4c-e699-3401-97af42adbf4b, XBTUSD, Sell, 7096, 2237
19-04-20,14:02:17,c879333d-bcc3-1a0d-32b4-30226231140d, XBTUSD, Sell, 7096, 133737
19-04-20,14:02:17,c879333d-bcc3-1a0d-32b4-30226231140d, XBTUSD, Sell, 7096, 133737
19-04-20,14:02:23,fd00f3dc-5a9e-a75a-6518-229b0e6915f4, XBTUSD, Sell, 7093.5, 103671
19-04-20,14:02:23,fd00f3dc-5a9e-a75a-6518-229b0e6915f4, XBTUSD, Sell, 7093.5, 103671
19-04-20,14:02:40,e723a953-2e70-99e7-3cac-f23c8f59e7a1, XBTUSD, Sell, 7091, 19125
